,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/20-03-2021,Bitcoin Lotto,20-03-2021,I,6 Numbers,Ƀ680.00,,"[4, 13, 14, 28, 33, 47]",[]
1,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/20-03-2021,Bitcoin Lotto,20-03-2021,II,5 Numbers,Ƀ1.00,,"[4, 13, 14, 28, 33, 47]",[]
2,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/20-03-2021,Bitcoin Lotto,20-03-2021,III,4 Numbers,50,,"[4, 13, 14, 28, 33, 47]",[]
3,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/20-03-2021,Bitcoin Lotto,20-03-2021,IV,3 Numbers,5,,"[4, 13, 14, 28, 33, 47]",[]
4,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/20-03-2021,Bitcoin Lotto,20-03-2021,V,2 Numbers,1.5,,"[4, 13, 14, 28, 33, 47]",[]
5,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/19-03-2021,Bitcoin Lotto,19-03-2021,I,6 Numbers,Ƀ650.00,,"[14, 18, 22, 23, 43, 48]",[]
6,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/19-03-2021,Bitcoin Lotto,19-03-2021,II,5 Numbers,Ƀ1.00,,"[14, 18, 22, 23, 43, 48]",[]
7,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/19-03-2021,Bitcoin Lotto,19-03-2021,III,4 Numbers,50,,"[14, 18, 22, 23, 43, 48]",[]
8,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/19-03-2021,Bitcoin Lotto,19-03-2021,IV,3 Numbers,5,,"[14, 18, 22, 23, 43, 48]",[]
9,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/19-03-2021,Bitcoin Lotto,19-03-2021,V,2 Numbers,1.5,,"[14, 18, 22, 23, 43, 48]",[]
10,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/18-03-2021,Bitcoin Lotto,18-03-2021,I,6 Numbers,Ƀ620.00,,"[4, 10, 12, 42, 44, 45]",[]
11,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/18-03-2021,Bitcoin Lotto,18-03-2021,II,5 Numbers,Ƀ1.00,,"[4, 10, 12, 42, 44, 45]",[]
12,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/18-03-2021,Bitcoin Lotto,18-03-2021,III,4 Numbers,50,,"[4, 10, 12, 42, 44, 45]",[]
13,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/18-03-2021,Bitcoin Lotto,18-03-2021,IV,3 Numbers,5,,"[4, 10, 12, 42, 44, 45]",[]
14,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/18-03-2021,Bitcoin Lotto,18-03-2021,V,2 Numbers,1.5,,"[4, 10, 12, 42, 44, 45]",[]
15,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/17-03-2021,Bitcoin Lotto,17-03-2021,I,6 Numbers,Ƀ590.00,,"[2, 15, 22, 25, 34, 42]",[]
16,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/17-03-2021,Bitcoin Lotto,17-03-2021,II,5 Numbers,Ƀ1.00,,"[2, 15, 22, 25, 34, 42]",[]
17,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/17-03-2021,Bitcoin Lotto,17-03-2021,III,4 Numbers,50,,"[2, 15, 22, 25, 34, 42]",[]
18,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/17-03-2021,Bitcoin Lotto,17-03-2021,IV,3 Numbers,5,,"[2, 15, 22, 25, 34, 42]",[]
19,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/17-03-2021,Bitcoin Lotto,17-03-2021,V,2 Numbers,1.5,,"[2, 15, 22, 25, 34, 42]",[]
20,https://www.lottoland.com/en/bitcoinlotto/results-winning-numbers/16-03-2021,Bitcoin Lotto,16-03-2021,I,6 Numbers,Ƀ560.00,,"[13, 14, 23, 32, 42, 45]",[]
