,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/quina/results-winning-numbers/22-03-2021,Brazil Quina,22-03-2021,I,5 Numbers,0,No hits,"[13, 21, 31, 48, 77]",[]
1,https://www.lottoland.com/en/quina/results-winning-numbers/22-03-2021,Brazil Quina,22-03-2021,II,4 Numbers,41,1683.38,"[13, 21, 31, 48, 77]",[]
2,https://www.lottoland.com/en/quina/results-winning-numbers/22-03-2021,Brazil Quina,22-03-2021,III,3 Numbers,4550,22.81,"[13, 21, 31, 48, 77]",[]
3,https://www.lottoland.com/en/quina/results-winning-numbers/22-03-2021,Brazil Quina,22-03-2021,IV,2 Numbers,115756,0.49,"[13, 21, 31, 48, 77]",[]
4,https://www.lottoland.com/en/quina/results-winning-numbers/20-03-2021,Brazil Quina,20-03-2021,I,5 Numbers,0,No hits,"[21, 37, 42, 53, 61]",[]
5,https://www.lottoland.com/en/quina/results-winning-numbers/20-03-2021,Brazil Quina,20-03-2021,II,4 Numbers,51,1182.91,"[21, 37, 42, 53, 61]",[]
6,https://www.lottoland.com/en/quina/results-winning-numbers/20-03-2021,Brazil Quina,20-03-2021,III,3 Numbers,3156,28.74,"[21, 37, 42, 53, 61]",[]
7,https://www.lottoland.com/en/quina/results-winning-numbers/20-03-2021,Brazil Quina,20-03-2021,IV,2 Numbers,80721,0.62,"[21, 37, 42, 53, 61]",[]
8,https://www.lottoland.com/en/quina/results-winning-numbers/19-03-2021,Brazil Quina,19-03-2021,I,5 Numbers,0,No hits,"[7, 8, 12, 19, 59]",[]
9,https://www.lottoland.com/en/quina/results-winning-numbers/19-03-2021,Brazil Quina,19-03-2021,II,4 Numbers,169,330.35,"[7, 8, 12, 19, 59]",[]
10,https://www.lottoland.com/en/quina/results-winning-numbers/19-03-2021,Brazil Quina,19-03-2021,III,3 Numbers,8053,10.43,"[7, 8, 12, 19, 59]",[]
11,https://www.lottoland.com/en/quina/results-winning-numbers/19-03-2021,Brazil Quina,19-03-2021,IV,2 Numbers,139142,0.33,"[7, 8, 12, 19, 59]",[]
12,https://www.lottoland.com/en/quina/results-winning-numbers/18-03-2021,Brazil Quina,18-03-2021,I,5 Numbers,1,2708857.16,"[9, 17, 26, 49, 50]",[]
13,https://www.lottoland.com/en/quina/results-winning-numbers/18-03-2021,Brazil Quina,18-03-2021,II,4 Numbers,139,1041.92,"[9, 17, 26, 49, 50]",[]
14,https://www.lottoland.com/en/quina/results-winning-numbers/18-03-2021,Brazil Quina,18-03-2021,III,3 Numbers,11053,19.7,"[9, 17, 26, 49, 50]",[]
15,https://www.lottoland.com/en/quina/results-winning-numbers/18-03-2021,Brazil Quina,18-03-2021,IV,2 Numbers,251150,0.48,"[9, 17, 26, 49, 50]",[]
16,https://www.lottoland.com/en/quina/results-winning-numbers/17-03-2021,Brazil Quina,17-03-2021,I,5 Numbers,0,No hits,"[17, 20, 21, 65, 77]",[]
17,https://www.lottoland.com/en/quina/results-winning-numbers/17-03-2021,Brazil Quina,17-03-2021,II,4 Numbers,137,1017.8,"[17, 20, 21, 65, 77]",[]
18,https://www.lottoland.com/en/quina/results-winning-numbers/17-03-2021,Brazil Quina,17-03-2021,III,3 Numbers,10581,19.82,"[17, 20, 21, 65, 77]",[]
19,https://www.lottoland.com/en/quina/results-winning-numbers/17-03-2021,Brazil Quina,17-03-2021,IV,2 Numbers,235739,0.49,"[17, 20, 21, 65, 77]",[]
20,https://www.lottoland.com/en/quina/results-winning-numbers/16-03-2021,Brazil Quina,16-03-2021,I,5 Numbers,0,No hits,"[2, 29, 63, 72, 77]",[]
21,https://www.lottoland.com/en/quina/results-winning-numbers/16-03-2021,Brazil Quina,16-03-2021,II,4 Numbers,105,1268.11,"[2, 29, 63, 72, 77]",[]
22,https://www.lottoland.com/en/quina/results-winning-numbers/16-03-2021,Brazil Quina,16-03-2021,III,3 Numbers,8073,24.8,"[2, 29, 63, 72, 77]",[]
23,https://www.lottoland.com/en/quina/results-winning-numbers/16-03-2021,Brazil Quina,16-03-2021,IV,2 Numbers,201838,0.55,"[2, 29, 63, 72, 77]",[]
24,https://www.lottoland.com/en/quina/results-winning-numbers/15-03-2021,Brazil Quina,15-03-2021,I,5 Numbers,0,No hits,"[28, 40, 45, 46, 54]",[]
25,https://www.lottoland.com/en/quina/results-winning-numbers/15-03-2021,Brazil Quina,15-03-2021,II,4 Numbers,79,1645.75,"[28, 40, 45, 46, 54]",[]
26,https://www.lottoland.com/en/quina/results-winning-numbers/15-03-2021,Brazil Quina,15-03-2021,III,3 Numbers,7508,26.04,"[28, 40, 45, 46, 54]",[]
27,https://www.lottoland.com/en/quina/results-winning-numbers/15-03-2021,Brazil Quina,15-03-2021,IV,2 Numbers,198643,0.54,"[28, 40, 45, 46, 54]",[]
28,https://www.lottoland.com/en/quina/results-winning-numbers/13-03-2021,Brazil Quina,13-03-2021,I,5 Numbers,0,No hits,"[9, 16, 46, 49, 70]",[]
29,https://www.lottoland.com/en/quina/results-winning-numbers/13-03-2021,Brazil Quina,13-03-2021,II,4 Numbers,81,1365.17,"[9, 16, 46, 49, 70]",[]
30,https://www.lottoland.com/en/quina/results-winning-numbers/13-03-2021,Brazil Quina,13-03-2021,III,3 Numbers,6543,25.41,"[9, 16, 46, 49, 70]",[]
31,https://www.lottoland.com/en/quina/results-winning-numbers/13-03-2021,Brazil Quina,13-03-2021,IV,2 Numbers,170019,0.54,"[9, 16, 46, 49, 70]",[]
32,https://www.lottoland.com/en/quina/results-winning-numbers/12-03-2021,Brazil Quina,44533,I,5 Numbers,0,No hits,"[2, 6, 9, 45, 64]",[]
33,https://www.lottoland.com/en/quina/results-winning-numbers/12-03-2021,Brazil Quina,44533,II,4 Numbers,121,1056.81,"[2, 6, 9, 45, 64]",[]
34,https://www.lottoland.com/en/quina/results-winning-numbers/12-03-2021,Brazil Quina,44533,III,3 Numbers,10733,17.91,"[2, 6, 9, 45, 64]",[]
35,https://www.lottoland.com/en/quina/results-winning-numbers/12-03-2021,Brazil Quina,44533,IV,2 Numbers,242913,0.44,"[2, 6, 9, 45, 64]",[]
36,https://www.lottoland.com/en/quina/results-winning-numbers/11-03-2021,Brazil Quina,44503,I,5 Numbers,0,No hits,"[11, 20, 22, 24, 34]",[]
37,https://www.lottoland.com/en/quina/results-winning-numbers/11-03-2021,Brazil Quina,44503,II,4 Numbers,99,1064.08,"[11, 20, 22, 24, 34]",[]
38,https://www.lottoland.com/en/quina/results-winning-numbers/11-03-2021,Brazil Quina,44503,III,3 Numbers,8330,19.02,"[11, 20, 22, 24, 34]",[]
39,https://www.lottoland.com/en/quina/results-winning-numbers/11-03-2021,Brazil Quina,44503,IV,2 Numbers,193873,0.45,"[11, 20, 22, 24, 34]",[]
40,https://www.lottoland.com/en/quina/results-winning-numbers/10-03-2021,Brazil Quina,44472,I,5 Numbers,0,No hits,"[12, 23, 24, 37, 63]",[]
41,https://www.lottoland.com/en/quina/results-winning-numbers/10-03-2021,Brazil Quina,44472,II,4 Numbers,130,784.59,"[12, 23, 24, 37, 63]",[]
42,https://www.lottoland.com/en/quina/results-winning-numbers/10-03-2021,Brazil Quina,44472,III,3 Numbers,7993,19.19,"[12, 23, 24, 37, 63]",[]
43,https://www.lottoland.com/en/quina/results-winning-numbers/10-03-2021,Brazil Quina,44472,IV,2 Numbers,191419,0.44,"[12, 23, 24, 37, 63]",[]
44,https://www.lottoland.com/en/quina/results-winning-numbers/09-03-2021,Brazil Quina,44442,I,5 Numbers,0,No hits,"[8, 18, 32, 62, 80]",[]
45,https://www.lottoland.com/en/quina/results-winning-numbers/09-03-2021,Brazil Quina,44442,II,4 Numbers,82,1142.15,"[8, 18, 32, 62, 80]",[]
46,https://www.lottoland.com/en/quina/results-winning-numbers/09-03-2021,Brazil Quina,44442,III,3 Numbers,5970,23.59,"[8, 18, 32, 62, 80]",[]
47,https://www.lottoland.com/en/quina/results-winning-numbers/09-03-2021,Brazil Quina,44442,IV,2 Numbers,150781,0.51,"[8, 18, 32, 62, 80]",[]
48,https://www.lottoland.com/en/quina/results-winning-numbers/08-03-2021,Brazil Quina,44411,I,5 Numbers,0,No hits,"[11, 47, 58, 67, 73]",[]
49,https://www.lottoland.com/en/quina/results-winning-numbers/08-03-2021,Brazil Quina,44411,II,4 Numbers,49,1814.64,"[11, 47, 58, 67, 73]",[]
50,https://www.lottoland.com/en/quina/results-winning-numbers/08-03-2021,Brazil Quina,44411,III,3 Numbers,4629,28.89,"[11, 47, 58, 67, 73]",[]
51,https://www.lottoland.com/en/quina/results-winning-numbers/08-03-2021,Brazil Quina,44411,IV,2 Numbers,127951,0.57,"[11, 47, 58, 67, 73]",[]
52,https://www.lottoland.com/en/quina/results-winning-numbers/06-03-2021,Brazil Quina,44350,I,5 Numbers,0,No hits,"[20, 29, 42, 58, 71]",[]
53,https://www.lottoland.com/en/quina/results-winning-numbers/06-03-2021,Brazil Quina,44350,II,4 Numbers,33,2300.7,"[20, 29, 42, 58, 71]",[]
54,https://www.lottoland.com/en/quina/results-winning-numbers/06-03-2021,Brazil Quina,44350,III,3 Numbers,3381,33.77,"[20, 29, 42, 58, 71]",[]
55,https://www.lottoland.com/en/quina/results-winning-numbers/06-03-2021,Brazil Quina,44350,IV,2 Numbers,102576,0.61,"[20, 29, 42, 58, 71]",[]
56,https://www.lottoland.com/en/quina/results-winning-numbers/05-03-2021,Brazil Quina,44319,I,5 Numbers,0,No hits,"[11, 13, 24, 54, 71]",[]
57,https://www.lottoland.com/en/quina/results-winning-numbers/05-03-2021,Brazil Quina,44319,II,4 Numbers,74,1103.6,"[11, 13, 24, 54, 71]",[]
58,https://www.lottoland.com/en/quina/results-winning-numbers/05-03-2021,Brazil Quina,44319,III,3 Numbers,6839,17.96,"[11, 13, 24, 54, 71]",[]
59,https://www.lottoland.com/en/quina/results-winning-numbers/05-03-2021,Brazil Quina,44319,IV,2 Numbers,161860,0.42,"[11, 13, 24, 54, 71]",[]
60,https://www.lottoland.com/en/quina/results-winning-numbers/04-03-2021,Brazil Quina,44289,I,5 Numbers,0,No hits,"[23, 27, 54, 59, 60]",[]
61,https://www.lottoland.com/en/quina/results-winning-numbers/04-03-2021,Brazil Quina,44289,II,4 Numbers,81,810.04,"[23, 27, 54, 59, 60]",[]
62,https://www.lottoland.com/en/quina/results-winning-numbers/04-03-2021,Brazil Quina,44289,III,3 Numbers,4563,21.62,"[23, 27, 54, 59, 60]",[]
63,https://www.lottoland.com/en/quina/results-winning-numbers/04-03-2021,Brazil Quina,44289,IV,2 Numbers,110274,0.49,"[23, 27, 54, 59, 60]",[]
64,https://www.lottoland.com/en/quina/results-winning-numbers/03-03-2021,Brazil Quina,44258,I,5 Numbers,0,No hits,"[2, 18, 39, 44, 55]",[]
65,https://www.lottoland.com/en/quina/results-winning-numbers/03-03-2021,Brazil Quina,44258,II,4 Numbers,57,1025.92,"[2, 18, 39, 44, 55]",[]
66,https://www.lottoland.com/en/quina/results-winning-numbers/03-03-2021,Brazil Quina,44258,III,3 Numbers,4465,19.69,"[2, 18, 39, 44, 55]",[]
67,https://www.lottoland.com/en/quina/results-winning-numbers/03-03-2021,Brazil Quina,44258,IV,2 Numbers,109469,0.44,"[2, 18, 39, 44, 55]",[]
68,https://www.lottoland.com/en/quina/results-winning-numbers/02-03-2021,Brazil Quina,44230,I,5 Numbers,1,2492022.07,"[45, 48, 71, 73, 75]",[]
69,https://www.lottoland.com/en/quina/results-winning-numbers/02-03-2021,Brazil Quina,44230,II,4 Numbers,189,863.86,"[45, 48, 71, 73, 75]",[]
70,https://www.lottoland.com/en/quina/results-winning-numbers/02-03-2021,Brazil Quina,44230,III,3 Numbers,11640,21.09,"[45, 48, 71, 73, 75]",[]
71,https://www.lottoland.com/en/quina/results-winning-numbers/02-03-2021,Brazil Quina,44230,IV,2 Numbers,246028,0.55,"[45, 48, 71, 73, 75]",[]
72,https://www.lottoland.com/en/quina/results-winning-numbers/01-03-2021,Brazil Quina,44199,I,5 Numbers,0,No hits,"[19, 23, 60, 70, 80]",[]
73,https://www.lottoland.com/en/quina/results-winning-numbers/01-03-2021,Brazil Quina,44199,II,4 Numbers,120,1255.94,"[19, 23, 60, 70, 80]",[]
74,https://www.lottoland.com/en/quina/results-winning-numbers/01-03-2021,Brazil Quina,44199,III,3 Numbers,9688,23.39,"[19, 23, 60, 70, 80]",[]
75,https://www.lottoland.com/en/quina/results-winning-numbers/01-03-2021,Brazil Quina,44199,IV,2 Numbers,226657,0.55,"[19, 23, 60, 70, 80]",[]
76,https://www.lottoland.com/en/quina/results-winning-numbers/27-02-2021,Brazil Quina,27-02-2021,I,5 Numbers,0,No hits,"[29, 45, 50, 68, 72]",[]
