,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,I,5 Numbers + 2 Stars,0.0,87587639.27,"[3, 9, 35, 43, 44]","[1, 10]"
1,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,II,5 Numbers + 1 Star,4.0,220250.3,"[3, 9, 35, 43, 44]","[1, 10]"
2,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,III,5 Numbers + 0 Stars,6.0,34317.4,"[3, 9, 35, 43, 44]","[1, 10]"
3,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,IV,4 Numbers + 2 Stars,26.0,2466.7,"[3, 9, 35, 43, 44]","[1, 10]"
4,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,V,4 Numbers + 1 Star,707.0,167.1,"[3, 9, 35, 43, 44]","[1, 10]"
5,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,VI,3 Numbers + 2 Stars,1527.0,81.7,"[3, 9, 35, 43, 44]","[1, 10]"
6,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,VII,4 Numbers + 0 Stars,1820.0,48.2,"[3, 9, 35, 43, 44]","[1, 10]"
7,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,VIII,2 Numbers + 2 Stars,22752.0,19.2,"[3, 9, 35, 43, 44]","[1, 10]"
8,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,IX,3 Numbers + 1 Star,33727.0,14.5,"[3, 9, 35, 43, 44]","[1, 10]"
9,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,X,3 Numbers + 0 Stars,88534.0,10.2,"[3, 9, 35, 43, 44]","[1, 10]"
10,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,XI,1 Number + 2 Stars,124513.0,8.8,"[3, 9, 35, 43, 44]","[1, 10]"
11,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,XII,2 Numbers + 1 Star,530063.0,6.5,"[3, 9, 35, 43, 44]","[1, 10]"
12,https://www.lottoland.com/en/euromillions/results-winning-numbers/19-03-2021,EuroMillions,19-03-2021,XIII,2 Numbers + 0 Stars,1406445.0,3.9,"[3, 9, 35, 43, 44]","[1, 10]"
13,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,I,5 Numbers + 2 Stars,0.0,73410604.25,"[23, 25, 32, 35, 47]","[2, 6]"
14,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,II,5 Numbers + 1 Star,4.0,165026.6,"[23, 25, 32, 35, 47]","[2, 6]"
15,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,III,5 Numbers + 0 Stars,6.0,25712.9,"[23, 25, 32, 35, 47]","[2, 6]"
16,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,IV,4 Numbers + 2 Stars,40.0,1201.3,"[23, 25, 32, 35, 47]","[2, 6]"
17,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,V,4 Numbers + 1 Star,628.0,140.9,"[23, 25, 32, 35, 47]","[2, 6]"
18,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,VI,3 Numbers + 2 Stars,1686.0,55.5,"[23, 25, 32, 35, 47]","[2, 6]"
19,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,VII,4 Numbers + 0 Stars,1362.0,48.2,"[23, 25, 32, 35, 47]","[2, 6]"
20,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,VIII,2 Numbers + 2 Stars,25162.0,13,"[23, 25, 32, 35, 47]","[2, 6]"
21,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,IX,3 Numbers + 1 Star,29856.0,12.2,"[23, 25, 32, 35, 47]","[2, 6]"
22,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,X,3 Numbers + 0 Stars,65078.0,10.4,"[23, 25, 32, 35, 47]","[2, 6]"
23,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,XI,1 Number + 2 Stars,140955.0,5.8,"[23, 25, 32, 35, 47]","[2, 6]"
24,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,XII,2 Numbers + 1 Star,446089.0,5.8,"[23, 25, 32, 35, 47]","[2, 6]"
25,https://www.lottoland.com/en/euromillions/results-winning-numbers/16-03-2021,EuroMillions,16-03-2021,XIII,2 Numbers + 0 Stars,963090.0,4.3,"[23, 25, 32, 35, 47]","[2, 6]"
26,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,I,5 Numbers + 2 Stars,,To be announced,[],[]
27,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,II,5 Numbers + 1 Star,,To be announced,[],[]
28,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,III,5 Numbers + 0 Stars,,To be announced,[],[]
29,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,IV,4 Numbers + 2 Stars,,To be announced,[],[]
30,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,V,4 Numbers + 1 Star,,To be announced,[],[]
31,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,VI,3 Numbers + 2 Stars,,To be announced,[],[]
32,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,VII,4 Numbers + 0 Stars,,To be announced,[],[]
33,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,VIII,2 Numbers + 2 Stars,,To be announced,[],[]
34,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,IX,3 Numbers + 1 Star,,To be announced,[],[]
35,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,X,3 Numbers + 0 Stars,,To be announced,[],[]
36,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,XI,1 Number + 2 Stars,,To be announced,[],[]
37,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,XII,2 Numbers + 1 Star,,To be announced,[],[]
38,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-12-2021,EuroMillions,44267,XIII,2 Numbers + 0 Stars,,To be announced,[],[]
39,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,I,5 Numbers + 2 Stars,,To be announced,[],[]
40,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,II,5 Numbers + 1 Star,,To be announced,[],[]
41,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,III,5 Numbers + 0 Stars,,To be announced,[],[]
42,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,IV,4 Numbers + 2 Stars,,To be announced,[],[]
43,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,V,4 Numbers + 1 Star,,To be announced,[],[]
44,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,VI,3 Numbers + 2 Stars,,To be announced,[],[]
45,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,VII,4 Numbers + 0 Stars,,To be announced,[],[]
46,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,VIII,2 Numbers + 2 Stars,,To be announced,[],[]
47,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,IX,3 Numbers + 1 Star,,To be announced,[],[]
48,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,X,3 Numbers + 0 Stars,,To be announced,[],[]
49,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,XI,1 Number + 2 Stars,,To be announced,[],[]
50,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,XII,2 Numbers + 1 Star,,To be announced,[],[]
51,https://www.lottoland.com/en/euromillions/results-winning-numbers/03-09-2021,EuroMillions,44264,XIII,2 Numbers + 0 Stars,,To be announced,[],[]
52,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,I,5 Numbers + 2 Stars,1.0,210000000,"[6, 12, 22, 29, 33]","[6, 11]"
53,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,II,5 Numbers + 1 Star,12.0,2494703.8,"[6, 12, 22, 29, 33]","[6, 11]"
54,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,III,5 Numbers + 0 Stars,35.0,11695.7,"[6, 12, 22, 29, 33]","[6, 11]"
55,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,IV,4 Numbers + 2 Stars,108.0,1180.5,"[6, 12, 22, 29, 33]","[6, 11]"
56,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,V,4 Numbers + 1 Star,2406.0,97.6,"[6, 12, 22, 29, 33]","[6, 11]"
57,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,VI,3 Numbers + 2 Stars,4760.0,52.1,"[6, 12, 22, 29, 33]","[6, 11]"
58,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,VII,4 Numbers + 0 Stars,5419.0,32.1,"[6, 12, 22, 29, 33]","[6, 11]"
59,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,VIII,2 Numbers + 2 Stars,63073.0,13.8,"[6, 12, 22, 29, 33]","[6, 11]"
60,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,IX,3 Numbers + 1 Star,101722.0,9.5,"[6, 12, 22, 29, 33]","[6, 11]"
61,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,X,3 Numbers + 0 Stars,227281.0,7.9,"[6, 12, 22, 29, 33]","[6, 11]"
62,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,XI,1 Number + 2 Stars,310363.0,7,"[6, 12, 22, 29, 33]","[6, 11]"
63,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,XII,2 Numbers + 1 Star,1334324.0,5.1,"[6, 12, 22, 29, 33]","[6, 11]"
64,https://www.lottoland.com/en/euromillions/results-winning-numbers/26-02-2021,EuroMillions,26-02-2021,XIII,2 Numbers + 0 Stars,3053393.0,3.6,"[6, 12, 22, 29, 33]","[6, 11]"
65,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,I,5 Numbers + 2 Stars,0.0,210000000,"[9, 18, 30, 39, 45]","[1, 3]"
66,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,II,5 Numbers + 1 Star,6.0,3519853.7,"[9, 18, 30, 39, 45]","[1, 3]"
67,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,III,5 Numbers + 0 Stars,9.0,37306.4,"[9, 18, 30, 39, 45]","[1, 3]"
68,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,IV,4 Numbers + 2 Stars,69.0,1515.6,"[9, 18, 30, 39, 45]","[1, 3]"
69,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,V,4 Numbers + 1 Star,1662.0,115.9,"[9, 18, 30, 39, 45]","[1, 3]"
70,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,VI,3 Numbers + 2 Stars,3152.0,64.6,"[9, 18, 30, 39, 45]","[1, 3]"
71,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,VII,4 Numbers + 0 Stars,3869.0,36.9,"[9, 18, 30, 39, 45]","[1, 3]"
72,https://www.lottoland.com/en/euromillions/results-winning-numbers/23-02-2021,EuroMillions,23-02-2021,VIII,2 Numbers + 2 Stars,46060.0,15.5,"[9, 18, 30, 39, 45]","[1, 3]"
