,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,I,5 Numbers + Bonus,0,No hits,"[6, 15, 24, 34, 39]",[4]
1,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,II,5 Numbers,3,47030.7,"[6, 15, 24, 34, 39]",[4]
2,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,III,4 Numbers + Bonus,24,1434.8,"[6, 15, 24, 34, 39]",[4]
3,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,IV,4 Numbers,239,519.6,"[6, 15, 24, 34, 39]",[4]
4,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,V,3 Numbers + Bonus,1254,59.1,"[6, 15, 24, 34, 39]",[4]
5,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,VI,3 Numbers,10750,24.8,"[6, 15, 24, 34, 39]",[4]
6,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,VII,2 Numbers + Bonus,19076,10.8,"[6, 15, 24, 34, 39]",[4]
7,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,VIII,2 Numbers,168736,4.8,"[6, 15, 24, 34, 39]",[4]
8,https://www.lottoland.com/en/french-lotto/results-winning-numbers/22-03-2021,French Lotto,22-03-2021,IX,0 Numbers + Bonus,277366,2.2,"[6, 15, 24, 34, 39]",[4]
9,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,I,5 Numbers + Bonus,4,1750000,"[4, 14, 18, 27, 42]",[3]
10,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,II,5 Numbers,3,86623,"[4, 14, 18, 27, 42]",[3]
11,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,III,4 Numbers + Bonus,79,802.8,"[4, 14, 18, 27, 42]",[3]
12,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,IV,4 Numbers,754,303.4,"[4, 14, 18, 27, 42]",[3]
13,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,V,3 Numbers + Bonus,3472,39.3,"[4, 14, 18, 27, 42]",[3]
14,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,VI,3 Numbers,29791,16.5,"[4, 14, 18, 27, 42]",[3]
15,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,VII,2 Numbers + Bonus,43639,8.7,"[4, 14, 18, 27, 42]",[3]
16,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,VIII,2 Numbers,379154,3.9,"[4, 14, 18, 27, 42]",[3]
17,https://www.lottoland.com/en/french-lotto/results-winning-numbers/20-03-2021,French Lotto,20-03-2021,IX,0 Numbers + Bonus,545810,2.2,"[4, 14, 18, 27, 42]",[3]
18,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,I,5 Numbers + Bonus,0,No hits,"[3, 18, 30, 45, 46]",[3]
19,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,II,5 Numbers,0,No hits,"[3, 18, 30, 45, 46]",[3]
20,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,III,4 Numbers + Bonus,49,4625.8,"[3, 18, 30, 45, 46]",[3]
21,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,IV,4 Numbers,277,579,"[3, 18, 30, 45, 46]",[3]
22,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,V,3 Numbers + Bonus,1910,50.1,"[3, 18, 30, 45, 46]",[3]
23,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,VI,3 Numbers,14306,24.1,"[3, 18, 30, 45, 46]",[3]
24,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,VII,2 Numbers + Bonus,30485,8.8,"[3, 18, 30, 45, 46]",[3]
25,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,VIII,2 Numbers,221821,4.7,"[3, 18, 30, 45, 46]",[3]
26,https://www.lottoland.com/en/french-lotto/results-winning-numbers/17-03-2021,French Lotto,17-03-2021,IX,0 Numbers + Bonus,412116,2.2,"[3, 18, 30, 45, 46]",[3]
27,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,I,5 Numbers + Bonus,0,No hits,"[15, 29, 33, 38, 41]",[2]
28,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,II,5 Numbers,1,161308.2,"[15, 29, 33, 38, 41]",[2]
29,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,III,4 Numbers + Bonus,27,1458.2,"[15, 29, 33, 38, 41]",[2]
30,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,IV,4 Numbers,348,408,"[15, 29, 33, 38, 41]",[2]
31,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,V,3 Numbers + Bonus,1059,80.1,"[15, 29, 33, 38, 41]",[2]
32,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,VI,3 Numbers,12474,24.4,"[15, 29, 33, 38, 41]",[2]
33,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,VII,2 Numbers + Bonus,15773,15,"[15, 29, 33, 38, 41]",[2]
34,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,VIII,2 Numbers,176435,5.3,"[15, 29, 33, 38, 41]",[2]
35,https://www.lottoland.com/en/french-lotto/results-winning-numbers/15-03-2021,French Lotto,15-03-2021,IX,0 Numbers + Bonus,258405,2.2,"[15, 29, 33, 38, 41]",[2]
36,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,I,5 Numbers + Bonus,0,No hits,"[4, 10, 19, 22, 47]",[8]
37,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,II,5 Numbers,10,25707.7,"[4, 10, 19, 22, 47]",[8]
38,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,III,4 Numbers + Bonus,82,765.1,"[4, 10, 19, 22, 47]",[8]
39,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,IV,4 Numbers,820,275.9,"[4, 10, 19, 22, 47]",[8]
40,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,V,3 Numbers + Bonus,3499,38.6,"[4, 10, 19, 22, 47]",[8]
41,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,VI,3 Numbers,31877,15.2,"[4, 10, 19, 22, 47]",[8]
42,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,VII,2 Numbers + Bonus,44149,8.5,"[4, 10, 19, 22, 47]",[8]
43,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,VIII,2 Numbers,392601,3.8,"[4, 10, 19, 22, 47]",[8]
44,https://www.lottoland.com/en/french-lotto/results-winning-numbers/13-03-2021,French Lotto,13-03-2021,IX,0 Numbers + Bonus,519527,2.2,"[4, 10, 19, 22, 47]",[8]
45,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,I,5 Numbers + Bonus,0,No hits,"[20, 26, 33, 34, 42]",[9]
46,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,II,5 Numbers,1,182596.3,"[20, 26, 33, 34, 42]",[9]
47,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,III,4 Numbers + Bonus,31,1437.6,"[20, 26, 33, 34, 42]",[9]
48,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,IV,4 Numbers,316,508.6,"[20, 26, 33, 34, 42]",[9]
49,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,V,3 Numbers + Bonus,1414,67.9,"[20, 26, 33, 34, 42]",[9]
50,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,VI,3 Numbers,13131,26.3,"[20, 26, 33, 34, 42]",[9]
51,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,VII,2 Numbers + Bonus,22087,12.1,"[20, 26, 33, 34, 42]",[9]
52,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,VIII,2 Numbers,200184,5.3,"[20, 26, 33, 34, 42]",[9]
53,https://www.lottoland.com/en/french-lotto/results-winning-numbers/10-03-2021,French Lotto,44472,IX,0 Numbers + Bonus,358571,2.2,"[20, 26, 33, 34, 42]",[9]
54,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,I,5 Numbers + Bonus,0,No hits,"[8, 19, 24, 38, 40]",[10]
55,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,II,5 Numbers,1,159957,"[8, 19, 24, 38, 40]",[10]
56,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,III,4 Numbers + Bonus,19,2054.8,"[8, 19, 24, 38, 40]",[10]
57,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,IV,4 Numbers,327,430.6,"[8, 19, 24, 38, 40]",[10]
58,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,V,3 Numbers + Bonus,1143,73.6,"[8, 19, 24, 38, 40]",[10]
59,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,VI,3 Numbers,13923,21.7,"[8, 19, 24, 38, 40]",[10]
60,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,VII,2 Numbers + Bonus,16004,14.7,"[8, 19, 24, 38, 40]",[10]
61,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,VIII,2 Numbers,197734,4.7,"[8, 19, 24, 38, 40]",[10]
62,https://www.lottoland.com/en/french-lotto/results-winning-numbers/08-03-2021,French Lotto,44411,IX,0 Numbers + Bonus,219311,2.2,"[8, 19, 24, 38, 40]",[10]
63,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,I,5 Numbers + Bonus,1,7000000,"[3, 11, 13, 22, 30]",[8]
64,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,II,5 Numbers,6,45975.9,"[3, 11, 13, 22, 30]",[8]
65,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,III,4 Numbers + Bonus,157,428.8,"[3, 11, 13, 22, 30]",[8]
66,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,IV,4 Numbers,1415,171.6,"[3, 11, 13, 22, 30]",[8]
67,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,V,3 Numbers + Bonus,4946,29.3,"[3, 11, 13, 22, 30]",[8]
68,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,VI,3 Numbers,45020,11.6,"[3, 11, 13, 22, 30]",[8]
69,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,VII,2 Numbers + Bonus,53693,7.5,"[3, 11, 13, 22, 30]",[8]
70,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,VIII,2 Numbers,481085,3.3,"[3, 11, 13, 22, 30]",[8]
71,https://www.lottoland.com/en/french-lotto/results-winning-numbers/06-03-2021,French Lotto,44350,IX,0 Numbers + Bonus,542539,2.2,"[3, 11, 13, 22, 30]",[8]
72,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,I,5 Numbers + Bonus,0,No hits,"[8, 19, 38, 41, 49]",[7]
73,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,II,5 Numbers,2,83159.1,"[8, 19, 38, 41, 49]",[7]
74,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,III,4 Numbers + Bonus,55,738,"[8, 19, 38, 41, 49]",[7]
75,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,IV,4 Numbers,326,449.1,"[8, 19, 38, 41, 49]",[7]
76,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,V,3 Numbers + Bonus,2247,38.9,"[8, 19, 38, 41, 49]",[7]
77,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,VI,3 Numbers,15515,20.2,"[8, 19, 38, 41, 49]",[7]
78,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,VII,2 Numbers + Bonus,35953,6.8,"[8, 19, 38, 41, 49]",[7]
79,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,VIII,2 Numbers,234294,4.1,"[8, 19, 38, 41, 49]",[7]
80,https://www.lottoland.com/en/french-lotto/results-winning-numbers/03-03-2021,French Lotto,44258,IX,0 Numbers + Bonus,546017,2.2,"[8, 19, 38, 41, 49]",[7]
81,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,I,5 Numbers + Bonus,0,No hits,"[4, 8, 14, 21, 47]",[9]
82,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,II,5 Numbers,1,158261.5,"[4, 8, 14, 21, 47]",[9]
83,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,III,4 Numbers + Bonus,37,1043.9,"[4, 8, 14, 21, 47]",[9]
84,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,IV,4 Numbers,381,365.6,"[4, 8, 14, 21, 47]",[9]
85,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,V,3 Numbers + Bonus,1718,48.4,"[4, 8, 14, 21, 47]",[9]
86,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,VI,3 Numbers,17153,17.4,"[4, 8, 14, 21, 47]",[9]
87,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,VII,2 Numbers + Bonus,23558,9.8,"[4, 8, 14, 21, 47]",[9]
88,https://www.lottoland.com/en/french-lotto/results-winning-numbers/01-03-2021,French Lotto,44199,VIII,2 Numbers,225178,4,"[4, 8, 14, 21, 47]",[9]
