,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,,,Strange representation of data,,,,,,,,,
1,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,,,,,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],,,,
2,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,10,100000,,,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],,,,
3,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,9,1000,50000,,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],,,,
4,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,8,100,1000,10000,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],,,,
5,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,7,15,20,100,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],,,,
6,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,6,5,5,15,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],,,,
7,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,5,2,2,2,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],100,,,
8,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,4,--,--,1,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],7,22,,
9,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,3,--,--,--,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],2,2,16,
10,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,2,--,--,--,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],--,1,1,6
11,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,1,--,--,--,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],--,--,--,--
12,https://www.lottoland.com/en/keno/results-winning-numbers/22-03-2021,German Keno,22-03-2021,0,2,2,1,"[9, 11, 12, 14, 15, 18, 19, 22, 26, 28, 31, 34, 44, 45, 48, 52, 54, 55, 61, 70]",[],--,--,--,--
13,https://www.lottoland.com/en/keno/results-winning-numbers/21-03-2021,German Keno,21-03-2021,,,,,"[2, 6, 7, 8, 9, 11, 17, 22, 23, 29, 32, 33, 34, 38, 54, 55, 61, 64, 66, 69]",[],,,,
14,https://www.lottoland.com/en/keno/results-winning-numbers/21-03-2021,German Keno,21-03-2021,10,100000,,,"[2, 6, 7, 8, 9, 11, 17, 22, 23, 29, 32, 33, 34, 38, 54, 55, 61, 64, 66, 69]",[],,,,
15,https://www.lottoland.com/en/keno/results-winning-numbers/21-03-2021,German Keno,21-03-2021,9,1000,50000,,"[2, 6, 7, 8, 9, 11, 17, 22, 23, 29, 32, 33, 34, 38, 54, 55, 61, 64, 66, 69]",[],,,,
16,https://www.lottoland.com/en/keno/results-winning-numbers/21-03-2021,German Keno,21-03-2021,8,100,1000,10000,"[2, 6, 7, 8, 9, 11, 17, 22, 23, 29, 32, 33, 34, 38, 54, 55, 61, 64, 66, 69]",[],,,,
