,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,I,"5 Numbers, 2 Euronumbers",56000000,No hits,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
1,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,II,"5 Numbers, 1 Euronumber",750000,No hits,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
2,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,III,"5 Numbers, 0 Euronumbers",50000,11862.54,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
3,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,IV,"4 Numbers, 2 Euronumbers",2500,905.47,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
4,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,V,"4 Numbers, 1 Euronumber",200,186.75,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
5,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,VI,"4 Numbers, 0 Euronumbers",100,85.84,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
6,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,VII,"3 Numbers, 2 Euronumbers",60,24.13,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
7,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,VIII,"2 Numbers, 2 Euronumbers",20,10.05,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
8,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,IX,"3 Numbers, 1 Euronumber",15,0.57,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
9,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,X,"3 Numbers, 0 Euronumbers",12.5,14.4,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
10,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,XI,"1 Number, 2 Euronumbers",7.5,43.2,"[2, 17, 24, 25, 47]","[5, 7]",,,,,
11,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,XII,"2 Numbers, 1 Euronumber",5,4.8,"[2, 17, 24, 25, 47]","[5, 7]",168,,,,
12,https://www.lottoland.com/en/eurojackpot-go/results-winning-numbers/01-01-2021-0000,EuroJackpot GO,-2021-0000,XIII,"0 Numbers, 0 Euronumbers",Stake back,11.52,"[2, 17, 24, 25, 47]","[5, 7]",432,,,,
13,https://www.lottoland.com/en/euromillions-go/results-winning-numbers/01-01-2021-0000,EuroMillions GO,-2021-0000,XIV,0 Numbers + 0 Stars,Stake back,0.96,"[8, 22, 27, 41, 45]","[2, 12]",4.8,20.16,,,
14,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,PLUS,1.44,1.44,3.36,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],19.2,92.16,,,
15,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,3,--,--,--,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],0.96,1.92,12.96,,
16,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,PLUS,0.96,0.96,0.96,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],4.8,11.52,51.36,,
17,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,2,--,--,--,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],--,0.48,0.48,3.84,
18,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,PLUS,0.96,0.96,0.96,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],2.4,3.84,6.72,28.8,
19,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,1,--,--,--,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],--,--,--,--,0.96
20,https://www.lottoland.com/en/multi-keno/results-winning-numbers/23-03-2021-1300,Multi Keno,-2021-1300,PLUS,2.4,3.36,3.36,"[4, 12, 13, 21, 24, 25, 33, 34, 43, 44, 47, 60, 61, 62, 67, 69, 75, 77, 78, 80]",[47],3.36,3.84,4.32,5.76,21.12
21,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-03-2021,German Lotto,13-03-2021,IV,5 Numbers,597,4751.9,"[4, 19, 24, 44, 47, 48]",8,,,,,
22,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-03-2021,German Lotto,13-03-2021,V,4 Numbers + SuperBall,4660,168.8,"[4, 19, 24, 44, 47, 48]",8,,,,,
23,https://www.lottoland.com/en/german-lottery/results-winning-numbers/13-03-2021,German Lotto,13-03-2021,VI,4 Numbers,37995,49.1,"[4, 19, 24, 44, 47, 48]",8,,,,,
