,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,I,6 Numbers,0,8697641,"[4, 27, 37, 43, 44, 46]",[32]
1,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,II,5 Numbers + Bonus,1,120441,"[4, 27, 37, 43, 44, 46]",[32]
2,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,III,5 Numbers,25,1626,"[4, 27, 37, 43, 44, 46]",[32]
3,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,IV,4 Numbers + Bonus,59,173,"[4, 27, 37, 43, 44, 46]",[32]
4,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,V,4 Numbers,1066,62,"[4, 27, 37, 43, 44, 46]",[32]
5,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,VI,3 Numbers + Bonus,1437,31,"[4, 27, 37, 43, 44, 46]",[32]
6,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,VII,3 Numbers,18447,11,"[4, 27, 37, 43, 44, 46]",[32]
7,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/20-03-2021,Irish Lotto,20-03-2021,VIII,2 Numbers + Bonus,14045,3,"[4, 27, 37, 43, 44, 46]",[32]
8,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,I,6 Numbers,0,8114994,"[1, 7, 20, 26, 43, 45]",[37]
9,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,II,5 Numbers + Bonus,0,52659,"[1, 7, 20, 26, 43, 45]",[37]
10,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,III,5 Numbers,17,1857,"[1, 7, 20, 26, 43, 45]",[37]
11,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,IV,4 Numbers + Bonus,35,227,"[1, 7, 20, 26, 43, 45]",[37]
12,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,V,4 Numbers,880,58,"[1, 7, 20, 26, 43, 45]",[37]
13,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,VI,3 Numbers + Bonus,1149,30,"[1, 7, 20, 26, 43, 45]",[37]
14,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,VII,3 Numbers,16191,10,"[1, 7, 20, 26, 43, 45]",[37]
15,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/17-03-2021,Irish Lotto,17-03-2021,VIII,2 Numbers + Bonus,10947,3,"[1, 7, 20, 26, 43, 45]",[37]
16,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,I,6 Numbers,0,7662342,"[2, 5, 7, 10, 24, 46]",[38]
17,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,II,5 Numbers + Bonus,1,69818,"[2, 5, 7, 10, 24, 46]",[38]
18,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,III,5 Numbers,38,1102,"[2, 5, 7, 10, 24, 46]",[38]
19,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,IV,4 Numbers + Bonus,58,182,"[2, 5, 7, 10, 24, 46]",[38]
20,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,V,4 Numbers,1779,38,"[2, 5, 7, 10, 24, 46]",[38]
21,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,VI,3 Numbers + Bonus,1702,27,"[2, 5, 7, 10, 24, 46]",[38]
22,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,VII,3 Numbers,28017,7,"[2, 5, 7, 10, 24, 46]",[38]
23,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/13-03-2021,Irish Lotto,13-03-2021,VIII,2 Numbers + Bonus,15562,3,"[2, 5, 7, 10, 24, 46]",[38]
24,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/10-03-2021,Irish Lotto,44472,I,6 Numbers,0,7062192,"[6, 26, 31, 38, 39, 47]",[22]
25,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/10-03-2021,Irish Lotto,44472,II,5 Numbers + Bonus,1,232635,"[6, 26, 31, 38, 39, 47]",[22]
26,https://www.lottoland.com/en/irish-lottery/results-winning-numbers/10-03-2021,Irish Lotto,44472,III,5 Numbers,17,1807,"[6, 26, 31, 38, 39, 47]",[22]
