,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,I,6 Numbers,1000000,,"[1, 25, 27, 31, 41, 44]",[]
1,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,II,5 Numbers,1000,,"[1, 25, 27, 31, 41, 44]",[]
2,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,III,4 Numbers,100,,"[1, 25, 27, 31, 41, 44]",[]
3,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,IV,3 Numbers,10,,"[1, 25, 27, 31, 41, 44]",[]
4,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,V,2 Numbers,2,,"[1, 25, 27, 31, 41, 44]",[]
5,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,I,6 Numbers,1000000,,"[1, 25, 27, 31, 41, 44]",[]
6,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,I,6 Numbers,1000000,,"[1, 25, 27, 31, 41, 44]",[]
7,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,I,6 Numbers,1000000,,"[1, 25, 27, 31, 41, 44]",[]
8,https://www.lottoland.com/en/lottox5/results-winning-numbers/20-03-2021,Lotto x5,20-03-2021,I,6 Numbers,1000000,,"[1, 25, 27, 31, 41, 44]",[]
9,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,I,6 Numbers,1000000,,"[7, 10, 15, 40, 52, 57]",[]
10,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,II,5 Numbers,1000,,"[7, 10, 15, 40, 52, 57]",[]
11,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,III,4 Numbers,100,,"[7, 10, 15, 40, 52, 57]",[]
12,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,IV,3 Numbers,10,,"[7, 10, 15, 40, 52, 57]",[]
13,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,V,2 Numbers,2,,"[7, 10, 15, 40, 52, 57]",[]
14,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,I,6 Numbers,1000000,,"[7, 10, 15, 40, 52, 57]",[]
15,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,I,6 Numbers,1000000,,"[7, 10, 15, 40, 52, 57]",[]
16,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,I,6 Numbers,1000000,,"[7, 10, 15, 40, 52, 57]",[]
17,https://www.lottoland.com/en/lottox5/results-winning-numbers/19-03-2021,Lotto x5,19-03-2021,I,6 Numbers,1000000,,"[7, 10, 15, 40, 52, 57]",[]
18,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,I,6 Numbers,1000000,,"[6, 7, 9, 41, 42, 49]",[]
19,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,II,5 Numbers,1000,,"[6, 7, 9, 41, 42, 49]",[]
20,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,III,4 Numbers,100,,"[6, 7, 9, 41, 42, 49]",[]
21,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,IV,3 Numbers,10,,"[6, 7, 9, 41, 42, 49]",[]
22,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,V,2 Numbers,2,,"[6, 7, 9, 41, 42, 49]",[]
23,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,I,6 Numbers,1000000,,"[6, 7, 9, 41, 42, 49]",[]
24,https://www.lottoland.com/en/lottox5/results-winning-numbers/17-03-2021,Lotto x5,17-03-2021,I,6 Numbers,1000000,,"[6, 7, 9, 41, 42, 49]",[]
