,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/minilotto/results-winning-numbers/22-03-2021,MINI Lotto,22-03-2021,I,5 Numbers,0,No hits,"[9, 14, 18, 23, 32]",[]
1,https://www.lottoland.com/en/minilotto/results-winning-numbers/22-03-2021,MINI Lotto,22-03-2021,II,4 Numbers,226,221.61,"[9, 14, 18, 23, 32]",[]
2,https://www.lottoland.com/en/minilotto/results-winning-numbers/22-03-2021,MINI Lotto,22-03-2021,III,3 Numbers,8300,9.05,"[9, 14, 18, 23, 32]",[]
3,https://www.lottoland.com/en/minilotto/results-winning-numbers/21-03-2021,MINI Lotto,21-03-2021,I,5 Numbers,2,23267.28,"[7, 14, 29, 31, 42]",[]
4,https://www.lottoland.com/en/minilotto/results-winning-numbers/21-03-2021,MINI Lotto,21-03-2021,II,4 Numbers,143,130.17,"[7, 14, 29, 31, 42]",[]
5,https://www.lottoland.com/en/minilotto/results-winning-numbers/21-03-2021,MINI Lotto,21-03-2021,III,3 Numbers,5325,5.25,"[7, 14, 29, 31, 42]",[]
6,https://www.lottoland.com/en/minilotto/results-winning-numbers/20-03-2021,MINI Lotto,20-03-2021,I,5 Numbers,0,No hits,"[4, 11, 15, 27, 37]",[]
7,https://www.lottoland.com/en/minilotto/results-winning-numbers/20-03-2021,MINI Lotto,20-03-2021,II,4 Numbers,269,230.17,"[4, 11, 15, 27, 37]",[]
8,https://www.lottoland.com/en/minilotto/results-winning-numbers/20-03-2021,MINI Lotto,20-03-2021,III,3 Numbers,9692,9.58,"[4, 11, 15, 27, 37]",[]
9,https://www.lottoland.com/en/minilotto/results-winning-numbers/19-03-2021,MINI Lotto,19-03-2021,I,5 Numbers,3,23463.9,"[6, 8, 22, 30, 39]",[]
10,https://www.lottoland.com/en/minilotto/results-winning-numbers/19-03-2021,MINI Lotto,19-03-2021,II,4 Numbers,187,150.58,"[6, 8, 22, 30, 39]",[]
11,https://www.lottoland.com/en/minilotto/results-winning-numbers/19-03-2021,MINI Lotto,19-03-2021,III,3 Numbers,7160,5.91,"[6, 8, 22, 30, 39]",[]
12,https://www.lottoland.com/en/minilotto/results-winning-numbers/18-03-2021,MINI Lotto,18-03-2021,I,5 Numbers,1,66882.35,"[7, 14, 15, 28, 30]",[]
13,https://www.lottoland.com/en/minilotto/results-winning-numbers/18-03-2021,MINI Lotto,18-03-2021,II,4 Numbers,229,116.84,"[7, 14, 15, 28, 30]",[]
