,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/megasena/results-winning-numbers/20-05-2017,Mega-Sena,20-05-2017,I,Sena - 6 Numbers,0,No hits,"[10, 16, 21, 29, 44, 55]",[]
1,https://www.lottoland.com/en/megasena/results-winning-numbers/20-05-2017,Mega-Sena,20-05-2017,II,Quina - 5 Numbers,72,10512.26,"[10, 16, 21, 29, 44, 55]",[]
2,https://www.lottoland.com/en/megasena/results-winning-numbers/20-05-2017,Mega-Sena,20-05-2017,III,Quadra - 4 Numbers,5449,198.43,"[10, 16, 21, 29, 44, 55]",[]
3,https://www.lottoland.com/en/megasena/results-winning-numbers/17-05-2017,Mega-Sena,17-05-2017,I,Sena - 6 Numbers,0,No hits,"[2, 8, 9, 15, 22, 34]",[]
4,https://www.lottoland.com/en/megasena/results-winning-numbers/17-05-2017,Mega-Sena,17-05-2017,II,Quina - 5 Numbers,131,5600.33,"[2, 8, 9, 15, 22, 34]",[]
5,https://www.lottoland.com/en/megasena/results-winning-numbers/17-05-2017,Mega-Sena,17-05-2017,III,Quadra - 4 Numbers,8918,117.52,"[2, 8, 9, 15, 22, 34]",[]
6,https://www.lottoland.com/en/megasena/results-winning-numbers/13-05-2017,Mega-Sena,13-05-2017,I,Sena - 6 Numbers,0,No hits,"[4, 17, 18, 37, 52, 56]",[]
7,https://www.lottoland.com/en/megasena/results-winning-numbers/13-05-2017,Mega-Sena,13-05-2017,II,Quina - 5 Numbers,50,12149.89,"[4, 17, 18, 37, 52, 56]",[]
8,https://www.lottoland.com/en/megasena/results-winning-numbers/13-05-2017,Mega-Sena,13-05-2017,III,Quadra - 4 Numbers,4712,184.18,"[4, 17, 18, 37, 52, 56]",[]
9,https://www.lottoland.com/en/megasena/results-winning-numbers/29-04-2017,Mega-Sena,29-04-2017,I,Sena - 6 Numbers,0,No hits,"[1, 17, 38, 43, 45, 47]",[]
10,https://www.lottoland.com/en/megasena/results-winning-numbers/29-04-2017,Mega-Sena,29-04-2017,II,Quina - 5 Numbers,50,15489.4,"[1, 17, 38, 43, 45, 47]",[]
11,https://www.lottoland.com/en/megasena/results-winning-numbers/29-04-2017,Mega-Sena,29-04-2017,III,Quadra - 4 Numbers,5258,210.42,"[1, 17, 38, 43, 45, 47]",[]
12,https://www.lottoland.com/en/megasena/results-winning-numbers/26-04-2017,Mega-Sena,26-04-2017,I,Sena - 6 Numbers,1,29609839.62,"[12, 16, 30, 52, 53, 58]",[]
13,https://www.lottoland.com/en/megasena/results-winning-numbers/26-04-2017,Mega-Sena,26-04-2017,II,Quina - 5 Numbers,188,11994.26,"[12, 16, 30, 52, 53, 58]",[]
14,https://www.lottoland.com/en/megasena/results-winning-numbers/26-04-2017,Mega-Sena,26-04-2017,III,Quadra - 4 Numbers,11382,283.02,"[12, 16, 30, 52, 53, 58]",[]
15,https://www.lottoland.com/en/megasena/results-winning-numbers/22-04-2017,Mega-Sena,22-04-2017,I,Sena - 6 Numbers,0,No hits,"[9, 34, 42, 45, 46, 59]",[]
16,https://www.lottoland.com/en/megasena/results-winning-numbers/22-04-2017,Mega-Sena,22-04-2017,II,Quina - 5 Numbers,110,14919.61,"[9, 34, 42, 45, 46, 59]",[]
17,https://www.lottoland.com/en/megasena/results-winning-numbers/22-04-2017,Mega-Sena,22-04-2017,III,Quadra - 4 Numbers,9351,250.72,"[9, 34, 42, 45, 46, 59]",[]
18,https://www.lottoland.com/en/megasena/results-winning-numbers/19-04-2017,Mega-Sena,19-04-2017,I,Sena - 6 Numbers,0,No hits,"[20, 22, 36, 38, 41, 43]",[]
19,https://www.lottoland.com/en/megasena/results-winning-numbers/19-04-2017,Mega-Sena,19-04-2017,II,Quina - 5 Numbers,124,12953.42,"[20, 22, 36, 38, 41, 43]",[]
20,https://www.lottoland.com/en/megasena/results-winning-numbers/19-04-2017,Mega-Sena,19-04-2017,III,Quadra - 4 Numbers,8817,260.25,"[20, 22, 36, 38, 41, 43]",[]
21,https://www.lottoland.com/en/megasena/results-winning-numbers/15-04-2017,Mega-Sena,15-04-2017,I,Sena - 6 Numbers,0,No hits,"[10, 15, 16, 19, 28, 35]",[]
22,https://www.lottoland.com/en/megasena/results-winning-numbers/15-04-2017,Mega-Sena,15-04-2017,II,Quina - 5 Numbers,127,9245.83,"[10, 15, 16, 19, 28, 35]",[]
23,https://www.lottoland.com/en/megasena/results-winning-numbers/15-04-2017,Mega-Sena,15-04-2017,III,Quadra - 4 Numbers,9277,180.82,"[10, 15, 16, 19, 28, 35]",[]
24,https://www.lottoland.com/en/megasena/results-winning-numbers/04-01-2017,Mega-Sena,42826,I,Sena - 6 Numbers,0,No hits,"[1, 3, 19, 23, 47, 58]",[]
25,https://www.lottoland.com/en/megasena/results-winning-numbers/04-01-2017,Mega-Sena,42826,II,Quina - 5 Numbers,46,7751.42,"[1, 3, 19, 23, 47, 58]",[]
26,https://www.lottoland.com/en/megasena/results-winning-numbers/04-01-2017,Mega-Sena,42826,III,Quadra - 4 Numbers,3488,146.04,"[1, 3, 19, 23, 47, 58]",[]
27,https://www.lottoland.com/en/megasena/results-winning-numbers/29-03-2017,Mega-Sena,29-03-2017,I,Sena - 6 Numbers,0,No hits,"[3, 9, 18, 23, 50, 52]",[]
28,https://www.lottoland.com/en/megasena/results-winning-numbers/29-03-2017,Mega-Sena,29-03-2017,II,Quina - 5 Numbers,100,6820.08,"[3, 9, 18, 23, 50, 52]",[]
29,https://www.lottoland.com/en/megasena/results-winning-numbers/29-03-2017,Mega-Sena,29-03-2017,III,Quadra - 4 Numbers,5478,177.85,"[3, 9, 18, 23, 50, 52]",[]
30,https://www.lottoland.com/en/megasena/results-winning-numbers/25-03-2017,Mega-Sena,25-03-2017,I,Sena - 6 Numbers,0,No hits,"[2, 20, 21, 33, 48, 57]",[]
31,https://www.lottoland.com/en/megasena/results-winning-numbers/25-03-2017,Mega-Sena,25-03-2017,II,Quina - 5 Numbers,39,15839.35,"[2, 20, 21, 33, 48, 57]",[]
32,https://www.lottoland.com/en/megasena/results-winning-numbers/25-03-2017,Mega-Sena,25-03-2017,III,Quadra - 4 Numbers,3429,257.36,"[2, 20, 21, 33, 48, 57]",[]
33,https://www.lottoland.com/en/megasena/results-winning-numbers/22-03-2017,Mega-Sena,22-03-2017,I,Sena - 6 Numbers,1,1741302.59,"[16, 29, 33, 39, 42, 44]",[]
34,https://www.lottoland.com/en/megasena/results-winning-numbers/22-03-2017,Mega-Sena,22-03-2017,II,Quina - 5 Numbers,27,18160.63,"[16, 29, 33, 39, 42, 44]",[]
35,https://www.lottoland.com/en/megasena/results-winning-numbers/22-03-2017,Mega-Sena,22-03-2017,III,Quadra - 4 Numbers,2403,291.5,"[16, 29, 33, 39, 42, 44]",[]
36,https://www.lottoland.com/en/megasena/results-winning-numbers/18-03-2017,Mega-Sena,18-03-2017,I,Sena - 6 Numbers,0,No hits,"[4, 14, 17, 43, 52, 56]",[]
37,https://www.lottoland.com/en/megasena/results-winning-numbers/18-03-2017,Mega-Sena,18-03-2017,II,Quina - 5 Numbers,43,10534.68,"[4, 14, 17, 43, 52, 56]",[]
38,https://www.lottoland.com/en/megasena/results-winning-numbers/18-03-2017,Mega-Sena,18-03-2017,III,Quadra - 4 Numbers,2960,218.62,"[4, 14, 17, 43, 52, 56]",[]
39,https://www.lottoland.com/en/megasena/results-winning-numbers/15-03-2017,Mega-Sena,15-03-2017,I,Sena - 6 Numbers,1,1745791.38,"[10, 13, 33, 35, 36, 42]",[]
40,https://www.lottoland.com/en/megasena/results-winning-numbers/15-03-2017,Mega-Sena,15-03-2017,II,Quina - 5 Numbers,43,11359.44,"[10, 13, 33, 35, 36, 42]",[]
41,https://www.lottoland.com/en/megasena/results-winning-numbers/15-03-2017,Mega-Sena,15-03-2017,III,Quadra - 4 Numbers,4556,153.16,"[10, 13, 33, 35, 36, 42]",[]
42,https://www.lottoland.com/en/megasena/results-winning-numbers/25-02-2017,Mega-Sena,25-02-2017,I,Sena - 6 Numbers,0,No hits,"[3, 25, 35, 38, 44, 48]",[]
43,https://www.lottoland.com/en/megasena/results-winning-numbers/25-02-2017,Mega-Sena,25-02-2017,II,Quina - 5 Numbers,55,13217.55,"[3, 25, 35, 38, 44, 48]",[]
44,https://www.lottoland.com/en/megasena/results-winning-numbers/25-02-2017,Mega-Sena,25-02-2017,III,Quadra - 4 Numbers,4353,238.57,"[3, 25, 35, 38, 44, 48]",[]
45,https://www.lottoland.com/en/megasena/results-winning-numbers/23-02-2017,Mega-Sena,23-02-2017,I,Sena - 6 Numbers,0,No hits,"[6, 27, 33, 39, 40, 60]",[]
46,https://www.lottoland.com/en/megasena/results-winning-numbers/23-02-2017,Mega-Sena,23-02-2017,II,Quina - 5 Numbers,54,11889.45,"[6, 27, 33, 39, 40, 60]",[]
47,https://www.lottoland.com/en/megasena/results-winning-numbers/23-02-2017,Mega-Sena,23-02-2017,III,Quadra - 4 Numbers,3833,239.28,"[6, 27, 33, 39, 40, 60]",[]
48,https://www.lottoland.com/en/megasena/results-winning-numbers/21-02-2017,Mega-Sena,21-02-2017,I,Sena - 6 Numbers,0,No hits,"[29, 35, 43, 54, 56, 57]",[]
49,https://www.lottoland.com/en/megasena/results-winning-numbers/21-02-2017,Mega-Sena,21-02-2017,II,Quina - 5 Numbers,22,21652.33,"[29, 35, 43, 54, 56, 57]",[]
50,https://www.lottoland.com/en/megasena/results-winning-numbers/21-02-2017,Mega-Sena,21-02-2017,III,Quadra - 4 Numbers,2351,289.45,"[29, 35, 43, 54, 56, 57]",[]
51,https://www.lottoland.com/en/megasena/results-winning-numbers/18-02-2017,Mega-Sena,18-02-2017,I,Sena - 6 Numbers,0,No hits,"[12, 15, 18, 21, 51, 56]",[]
