,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,Strange representation of data,,,,,,,,,,
1,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,,,,,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
2,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,10,60000,,,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
3,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,600000,,,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
4,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,9,2400,16800,,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
5,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,12000,72000,,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
6,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,8,124.8,480,5280,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
7,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,364.8,2400,31200,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
8,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,7,33.6,72,144,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
9,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,91.2,216,432,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
10,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,6,2.88,10.08,14.4,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
11,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,8.64,29.28,43.2,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],,,,,
12,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,5,0.96,1.92,4.8,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],168,,,,
13,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,2.88,5.28,11.52,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],432,,,,
14,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,4,0.48,0.48,0.96,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],4.8,20.16,,,
15,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,PLUS,1.44,1.44,3.36,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],19.2,92.16,,,
16,https://www.lottoland.com/en/multi-keno/results-winning-numbers/22-03-2021-2050,Multi Keno,-2021-2050,3,--,--,--,"[1, 6, 8, 10, 13, 15, 22, 24, 28, 31, 33, 49, 53, 54, 61, 63, 65, 68, 71, 76]",[24],0.96,1.92,12.96,,
