,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-03-2021,Polish Lotto,20-03-2021,I,6 Numbers,1,3885672.7,"[2, 3, 5, 9, 31, 48]",[]
1,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-03-2021,Polish Lotto,20-03-2021,II,5 Numbers,79,1303.28,"[2, 3, 5, 9, 31, 48]",[]
2,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-03-2021,Polish Lotto,20-03-2021,III,4 Numbers,5009,25.76,"[2, 3, 5, 9, 31, 48]",[]
3,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-03-2021,Polish Lotto,20-03-2021,IV,3 Numbers,94147,5.19,"[2, 3, 5, 9, 31, 48]",[]
4,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/18-03-2021,Polish Lotto,18-03-2021,I,6 Numbers,0,3462054.69,"[1, 5, 18, 24, 43, 47]",[]
5,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/18-03-2021,Polish Lotto,18-03-2021,II,5 Numbers,73,1073.37,"[1, 5, 18, 24, 43, 47]",[]
6,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/18-03-2021,Polish Lotto,18-03-2021,III,4 Numbers,3361,41.59,"[1, 5, 18, 24, 43, 47]",[]
7,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/18-03-2021,Polish Lotto,18-03-2021,IV,3 Numbers,63626,5.19,"[1, 5, 18, 24, 43, 47]",[]
8,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/16-03-2021,Polish Lotto,16-03-2021,I,6 Numbers,0,3047376.25,"[3, 4, 24, 27, 28, 48]",[]
9,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/16-03-2021,Polish Lotto,16-03-2021,II,5 Numbers,62,1245.57,"[3, 4, 24, 27, 28, 48]",[]
10,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/16-03-2021,Polish Lotto,16-03-2021,III,4 Numbers,3621,28.84,"[3, 4, 24, 27, 28, 48]",[]
11,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/16-03-2021,Polish Lotto,16-03-2021,IV,3 Numbers,68714,5.22,"[3, 4, 24, 27, 28, 48]",[]
12,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/13-03-2021,Polish Lotto,13-03-2021,I,6 Numbers,0,2615855.13,"[8, 14, 17, 42, 43, 47]",[]
13,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/13-03-2021,Polish Lotto,13-03-2021,II,5 Numbers,49,1868.61,"[8, 14, 17, 42, 43, 47]",[]
14,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/13-03-2021,Polish Lotto,13-03-2021,III,4 Numbers,3602,51.21,"[8, 14, 17, 42, 43, 47]",[]
15,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/13-03-2021,Polish Lotto,13-03-2021,IV,3 Numbers,69755,5.23,"[8, 14, 17, 42, 43, 47]",[]
16,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/11-03-2021,Polish Lotto,44503,I,6 Numbers,0,1965389.49,"[2, 5, 17, 18, 33, 40]",[]
17,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/11-03-2021,Polish Lotto,44503,II,5 Numbers,52,1267.87,"[2, 5, 17, 18, 33, 40]",[]
18,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/11-03-2021,Polish Lotto,44503,III,4 Numbers,3025,33.87,"[2, 5, 17, 18, 33, 40]",[]
19,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/11-03-2021,Polish Lotto,44503,IV,3 Numbers,55938,5.24,"[2, 5, 17, 18, 33, 40]",[]
20,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/09-03-2021,Polish Lotto,44442,I,6 Numbers,0,1525630.82,"[15, 20, 32, 37, 43, 48]",[]
21,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/09-03-2021,Polish Lotto,44442,II,5 Numbers,48,1297.77,"[15, 20, 32, 37, 43, 48]",[]
22,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/09-03-2021,Polish Lotto,44442,III,4 Numbers,2504,54.42,"[15, 20, 32, 37, 43, 48]",[]
23,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/09-03-2021,Polish Lotto,44442,IV,3 Numbers,45411,5.23,"[15, 20, 32, 37, 43, 48]",[]
24,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/06-03-2021,Polish Lotto,44350,I,6 Numbers,0,1307225.71,"[6, 10, 15, 16, 17, 27]",[]
25,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/06-03-2021,Polish Lotto,44350,II,5 Numbers,61,1197.2,"[6, 10, 15, 16, 17, 27]",[]
26,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/06-03-2021,Polish Lotto,44350,III,4 Numbers,3558,27.87,"[6, 10, 15, 16, 17, 27]",[]
27,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/06-03-2021,Polish Lotto,44350,IV,3 Numbers,64849,5.23,"[6, 10, 15, 16, 17, 27]",[]
28,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/04-03-2021,Polish Lotto,44289,I,6 Numbers,0,879332.11,"[22, 25, 30, 34, 37, 43]",[]
29,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/04-03-2021,Polish Lotto,44289,II,5 Numbers,42,1221.11,"[22, 25, 30, 34, 37, 43]",[]
30,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/04-03-2021,Polish Lotto,44289,III,4 Numbers,2103,49.4,"[22, 25, 30, 34, 37, 43]",[]
31,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/04-03-2021,Polish Lotto,44289,IV,3 Numbers,38639,5.28,"[22, 25, 30, 34, 37, 43]",[]
32,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/02-03-2021,Polish Lotto,44230,I,6 Numbers,0,661192.87,"[17, 18, 37, 43, 45, 46]",[]
33,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/02-03-2021,Polish Lotto,44230,II,5 Numbers,37,1318.29,"[17, 18, 37, 43, 45, 46]",[]
34,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/02-03-2021,Polish Lotto,44230,III,4 Numbers,1660,64.73,"[17, 18, 37, 43, 45, 46]",[]
35,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/02-03-2021,Polish Lotto,44230,IV,3 Numbers,35017,5.29,"[17, 18, 37, 43, 45, 46]",[]
36,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/27-02-2021,Polish Lotto,27-02-2021,I,6 Numbers,0,442491.48,"[1, 22, 37, 40, 42, 48]",[]
37,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/27-02-2021,Polish Lotto,27-02-2021,II,5 Numbers,29,2101.72,"[1, 22, 37, 40, 42, 48]",[]
38,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/27-02-2021,Polish Lotto,27-02-2021,III,4 Numbers,2110,66.79,"[1, 22, 37, 40, 42, 48]",[]
39,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/27-02-2021,Polish Lotto,27-02-2021,IV,3 Numbers,42331,5.31,"[1, 22, 37, 40, 42, 48]",[]
40,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/25-02-2021,Polish Lotto,25-02-2021,I,6 Numbers,1,443446.1,"[3, 7, 14, 18, 40, 46]",[]
41,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/25-02-2021,Polish Lotto,25-02-2021,II,5 Numbers,29,1648.2,"[3, 7, 14, 18, 40, 46]",[]
42,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/25-02-2021,Polish Lotto,25-02-2021,III,4 Numbers,2003,37.43,"[3, 7, 14, 18, 40, 46]",[]
43,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/25-02-2021,Polish Lotto,25-02-2021,IV,3 Numbers,39813,5.32,"[3, 7, 14, 18, 40, 46]",[]
44,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/23-02-2021,Polish Lotto,23-02-2021,I,6 Numbers,1,4804874.34,"[4, 11, 15, 20, 22, 27]",[]
45,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/23-02-2021,Polish Lotto,23-02-2021,II,5 Numbers,117,915.62,"[4, 11, 15, 20, 22, 27]",[]
46,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/23-02-2021,Polish Lotto,23-02-2021,III,4 Numbers,5647,23.77,"[4, 11, 15, 20, 22, 27]",[]
47,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/23-02-2021,Polish Lotto,23-02-2021,IV,3 Numbers,95479,5.33,"[4, 11, 15, 20, 22, 27]",[]
48,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-02-2021,Polish Lotto,20-02-2021,I,6 Numbers,0,4454887.69,"[3, 20, 25, 27, 33, 46]",[]
49,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-02-2021,Polish Lotto,20-02-2021,II,5 Numbers,121,981.12,"[3, 20, 25, 27, 33, 46]",[]
50,https://www.lottoland.com/en/polish-lottery/results-winning-numbers/20-02-2021,Polish Lotto,20-02-2021,III,4 Numbers,5757,29.71,"[3, 20, 25, 27, 33, 46]",[]
