,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,I,5 Numbers + Megaball,0,88241300.46,"[9, 14, 40, 58, 69]",[8]
1,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,II,5 Numbers,0,840393.34,"[9, 14, 40, 58, 69]",[8]
2,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,III,4 Numbers + Megaball,12,8403.93,"[9, 14, 40, 58, 69]",[8]
3,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,IV,4 Numbers,280,420.2,"[9, 14, 40, 58, 69]",[8]
4,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,V,3 Numbers + Megaball,747,168.08,"[9, 14, 40, 58, 69]",[8]
5,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,VI,3 Numbers,18433,8.4,"[9, 14, 40, 58, 69]",[8]
6,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,VII,2 Numbers + Megaball,18075,8.4,"[9, 14, 40, 58, 69]",[8]
7,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,VIII,1 Number + Megaball,147483,3.36,"[9, 14, 40, 58, 69]",[8]
8,https://www.lottoland.com/en/megamillions/results-winning-numbers/20-03-2021,MegaMillions,20-03-2021,IX,Megaball,364174,1.68,"[9, 14, 40, 58, 69]",[8]
9,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,I,5 Numbers + Powerball,0,154705051.46,"[34, 38, 42, 61, 62]",[19]
10,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,II,5 Numbers,3,840788.32,"[34, 38, 42, 61, 62]",[19]
11,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,III,4 Numbers + Powerball,8,42039.42,"[34, 38, 42, 61, 62]",[19]
12,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,IV,4 Numbers,336,84.08,"[34, 38, 42, 61, 62]",[19]
13,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,V,3 Numbers + Powerball,747,84.08,"[34, 38, 42, 61, 62]",[19]
14,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,VI,3 Numbers,18942,5.89,"[34, 38, 42, 61, 62]",[19]
15,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,VII,2 Numbers + Powerball,16162,5.89,"[34, 38, 42, 61, 62]",[19]
16,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,VIII,1 Number + Powerball,127217,3.36,"[34, 38, 42, 61, 62]",[19]
17,https://www.lottoland.com/en/powerball/results-winning-numbers/18-03-2021,PowerBall,18-03-2021,IX,Powerball,333891,3.36,"[34, 38, 42, 61, 62]",[19]
