,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,I,5 Numbers + Superball,0.0,No hits,"[21, 27, 30, 34, 42]",[7]
1,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,II,5 Numbers,1.0,182582.24,"[21, 27, 30, 34, 42]",[7]
2,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,III,4 Numbers + Superball,24.0,1383.2,"[21, 27, 30, 34, 42]",[7]
3,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,IV,4 Numbers,172.0,225.17,"[21, 27, 30, 34, 42]",[7]
4,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,V,3 Numbers + Superball,1421.0,31.15,"[21, 27, 30, 34, 42]",[7]
5,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,VI,3 Numbers,9114.0,15.78,"[21, 27, 30, 34, 42]",[7]
6,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,VII,2 Numbers + Superball,21825.0,5.07,"[21, 27, 30, 34, 42]",[7]
7,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,VIII,2 Numbers,143105.0,3,"[21, 27, 30, 34, 42]",[7]
8,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/21-03-2021,Sunday Lotto,21-03-2021,IX,0 Numbers + Superball,374794.0,1.5,"[21, 27, 30, 34, 42]",[7]
9,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,I,5 Numbers + Superball,0.0,No hits,"[20, 32, 34, 39, 48]",[4]
10,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,II,5 Numbers,1.0,197629.57,"[20, 32, 34, 39, 48]",[4]
11,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,III,4 Numbers + Superball,21.0,1711.08,"[20, 32, 34, 39, 48]",[4]
12,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,IV,4 Numbers,169.0,248.06,"[20, 32, 34, 39, 48]",[4]
13,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,V,3 Numbers + Superball,893.0,53.65,"[20, 32, 34, 39, 48]",[4]
14,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,VI,3 Numbers,8039.0,19.37,"[20, 32, 34, 39, 48]",[4]
15,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,VII,2 Numbers + Superball,14834.0,8.07,"[20, 32, 34, 39, 48]",[4]
16,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,VIII,2 Numbers,133961.0,3,"[20, 32, 34, 39, 48]",[4]
17,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/14-03-2021,Sunday Lotto,14-03-2021,IX,0 Numbers + Superball,293811.0,1.5,"[20, 32, 34, 39, 48]",[4]
18,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,I,5 Numbers + Superball,0.0,No hits,"[15, 24, 40, 42, 48]",[9]
19,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,II,5 Numbers,1.0,185212.36,"[15, 24, 40, 42, 48]",[9]
20,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,III,4 Numbers + Superball,15.0,2245,"[15, 24, 40, 42, 48]",[9]
21,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,IV,4 Numbers,182.0,215.87,"[15, 24, 40, 42, 48]",[9]
22,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,V,3 Numbers + Superball,1033.0,43.47,"[15, 24, 40, 42, 48]",[9]
23,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,VI,3 Numbers,9756.0,14.96,"[15, 24, 40, 42, 48]",[9]
24,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,VII,2 Numbers + Superball,15783.0,7.11,"[15, 24, 40, 42, 48]",[9]
25,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,VIII,2 Numbers,150694.0,3,"[15, 24, 40, 42, 48]",[9]
26,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/07-03-2021,Sunday Lotto,44380,IX,0 Numbers + Superball,278933.0,1.5,"[15, 24, 40, 42, 48]",[9]
27,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/28-02-2021,Sunday Lotto,28-02-2021,I,5 Numbers + Superball,0.0,No hits,"[5, 6, 26, 27, 35]",[6]
28,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/28-02-2021,Sunday Lotto,28-02-2021,II,5 Numbers,0.0,No hits,"[5, 6, 26, 27, 35]",[6]
29,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/28-02-2021,Sunday Lotto,28-02-2021,III,4 Numbers + Superball,33.0,6051.68,"[5, 6, 26, 27, 35]",[6]
30,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/28-02-2021,Sunday Lotto,28-02-2021,IV,4 Numbers,182.0,196.95,"[5, 6, 26, 27, 35]",[6]
31,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/28-02-2021,Sunday Lotto,28-02-2021,V,3 Numbers + Superball,1114.0,36.77,"[5, 6, 26, 27, 35]",[6]
32,https://www.lottoland.com/en/sundaylotto/results-winning-numbers/28-02-2021,Sunday Lotto,28-02-2021,VI,3 Numbers,10467.0,12.72,"[5, 6, 26, 27, 35]",[6]
