,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/superenalotto/results-winning-numbers/18-03-2021,SuperEnalotto,18-03-2021,I,6 Numbers,0,No hits,"[11, 38, 51, 58, 62, 63]",[47]
1,https://www.lottoland.com/en/superenalotto/results-winning-numbers/18-03-2021,SuperEnalotto,18-03-2021,II,5 Numbers + Jolly Number,1,605175.32,"[11, 38, 51, 58, 62, 63]",[47]
2,https://www.lottoland.com/en/superenalotto/results-winning-numbers/18-03-2021,SuperEnalotto,18-03-2021,III,5 Numbers,2,97759.09,"[11, 38, 51, 58, 62, 63]",[47]
3,https://www.lottoland.com/en/superenalotto/results-winning-numbers/18-03-2021,SuperEnalotto,18-03-2021,IV,4 Numbers,442,451.45,"[11, 38, 51, 58, 62, 63]",[47]
4,https://www.lottoland.com/en/superenalotto/results-winning-numbers/18-03-2021,SuperEnalotto,18-03-2021,V,3 Numbers,19441,30.85,"[11, 38, 51, 58, 62, 63]",[47]
5,https://www.lottoland.com/en/superenalotto/results-winning-numbers/18-03-2021,SuperEnalotto,18-03-2021,VI,2 Numbers,320447,5.81,"[11, 38, 51, 58, 62, 63]",[47]
6,https://www.lottoland.com/en/superenalotto/results-winning-numbers/16-03-2021,SuperEnalotto,16-03-2021,I,6 Numbers,0,No hits,"[28, 43, 48, 65, 84, 89]",[9]
7,https://www.lottoland.com/en/superenalotto/results-winning-numbers/16-03-2021,SuperEnalotto,16-03-2021,II,5 Numbers + Jolly Number,0,No hits,"[28, 43, 48, 65, 84, 89]",[9]
8,https://www.lottoland.com/en/superenalotto/results-winning-numbers/16-03-2021,SuperEnalotto,16-03-2021,III,5 Numbers,3,65873.53,"[28, 43, 48, 65, 84, 89]",[9]
9,https://www.lottoland.com/en/superenalotto/results-winning-numbers/16-03-2021,SuperEnalotto,16-03-2021,IV,4 Numbers,478,421.85,"[28, 43, 48, 65, 84, 89]",[9]
10,https://www.lottoland.com/en/superenalotto/results-winning-numbers/16-03-2021,SuperEnalotto,16-03-2021,V,3 Numbers,18882,32.1,"[28, 43, 48, 65, 84, 89]",[9]
11,https://www.lottoland.com/en/superenalotto/results-winning-numbers/16-03-2021,SuperEnalotto,16-03-2021,VI,2 Numbers,306437,6.14,"[28, 43, 48, 65, 84, 89]",[9]
12,https://www.lottoland.com/en/superenalotto/results-winning-numbers/13-03-2021,SuperEnalotto,13-03-2021,I,6 Numbers,0,No hits,"[28, 29, 43, 59, 70, 79]",[52]
13,https://www.lottoland.com/en/superenalotto/results-winning-numbers/13-03-2021,SuperEnalotto,13-03-2021,II,5 Numbers + Jolly Number,0,No hits,"[28, 29, 43, 59, 70, 79]",[52]
14,https://www.lottoland.com/en/superenalotto/results-winning-numbers/13-03-2021,SuperEnalotto,13-03-2021,III,5 Numbers,1,244204.38,"[28, 29, 43, 59, 70, 79]",[52]
15,https://www.lottoland.com/en/superenalotto/results-winning-numbers/13-03-2021,SuperEnalotto,13-03-2021,IV,4 Numbers,483,513.93,"[28, 29, 43, 59, 70, 79]",[52]
16,https://www.lottoland.com/en/superenalotto/results-winning-numbers/13-03-2021,SuperEnalotto,13-03-2021,V,3 Numbers,21974,34.05,"[28, 29, 43, 59, 70, 79]",[52]
17,https://www.lottoland.com/en/superenalotto/results-winning-numbers/13-03-2021,SuperEnalotto,13-03-2021,VI,2 Numbers,381754,6.09,"[28, 29, 43, 59, 70, 79]",[52]
18,https://www.lottoland.com/en/superenalotto/results-winning-numbers/11-03-2021,SuperEnalotto,44503,I,6 Numbers,0,No hits,"[9, 31, 51, 68, 84, 90]",[33]
19,https://www.lottoland.com/en/superenalotto/results-winning-numbers/11-03-2021,SuperEnalotto,44503,II,5 Numbers + Jolly Number,1,611340.44,"[9, 31, 51, 68, 84, 90]",[33]
20,https://www.lottoland.com/en/superenalotto/results-winning-numbers/11-03-2021,SuperEnalotto,44503,III,5 Numbers,9,21945.56,"[9, 31, 51, 68, 84, 90]",[33]
21,https://www.lottoland.com/en/superenalotto/results-winning-numbers/11-03-2021,SuperEnalotto,44503,IV,4 Numbers,660,305.35,"[9, 31, 51, 68, 84, 90]",[33]
22,https://www.lottoland.com/en/superenalotto/results-winning-numbers/11-03-2021,SuperEnalotto,44503,V,3 Numbers,23848,25.4,"[9, 31, 51, 68, 84, 90]",[33]
23,https://www.lottoland.com/en/superenalotto/results-winning-numbers/11-03-2021,SuperEnalotto,44503,VI,2 Numbers,388304,5,"[9, 31, 51, 68, 84, 90]",[33]
24,https://www.lottoland.com/en/superenalotto/results-winning-numbers/09-03-2021,SuperEnalotto,44442,I,6 Numbers,0,No hits,"[8, 15, 20, 52, 54, 72]",[81]
25,https://www.lottoland.com/en/superenalotto/results-winning-numbers/09-03-2021,SuperEnalotto,44442,II,5 Numbers + Jolly Number,0,No hits,"[8, 15, 20, 52, 54, 72]",[81]
26,https://www.lottoland.com/en/superenalotto/results-winning-numbers/09-03-2021,SuperEnalotto,44442,III,5 Numbers,9,22079.64,"[8, 15, 20, 52, 54, 72]",[81]
27,https://www.lottoland.com/en/superenalotto/results-winning-numbers/09-03-2021,SuperEnalotto,44442,IV,4 Numbers,818,247.85,"[8, 15, 20, 52, 54, 72]",[81]
28,https://www.lottoland.com/en/superenalotto/results-winning-numbers/09-03-2021,SuperEnalotto,44442,V,3 Numbers,31196,19.54,"[8, 15, 20, 52, 54, 72]",[81]
29,https://www.lottoland.com/en/superenalotto/results-winning-numbers/09-03-2021,SuperEnalotto,44442,VI,2 Numbers,434803,5,"[8, 15, 20, 52, 54, 72]",[81]
30,https://www.lottoland.com/en/superenalotto/results-winning-numbers/06-03-2021,SuperEnalotto,44350,I,6 Numbers,0,No hits,"[4, 36, 43, 61, 72, 89]",[22]
31,https://www.lottoland.com/en/superenalotto/results-winning-numbers/06-03-2021,SuperEnalotto,44350,II,5 Numbers + Jolly Number,0,No hits,"[4, 36, 43, 61, 72, 89]",[22]
32,https://www.lottoland.com/en/superenalotto/results-winning-numbers/06-03-2021,SuperEnalotto,44350,III,5 Numbers,6,40656.69,"[4, 36, 43, 61, 72, 89]",[22]
33,https://www.lottoland.com/en/superenalotto/results-winning-numbers/06-03-2021,SuperEnalotto,44350,IV,4 Numbers,550,450.84,"[4, 36, 43, 61, 72, 89]",[22]
34,https://www.lottoland.com/en/superenalotto/results-winning-numbers/06-03-2021,SuperEnalotto,44350,V,3 Numbers,21974,34.01,"[4, 36, 43, 61, 72, 89]",[22]
35,https://www.lottoland.com/en/superenalotto/results-winning-numbers/06-03-2021,SuperEnalotto,44350,VI,2 Numbers,381027,6.09,"[4, 36, 43, 61, 72, 89]",[22]
36,https://www.lottoland.com/en/superenalotto/results-winning-numbers/04-03-2021,SuperEnalotto,44289,I,6 Numbers,0,No hits,"[2, 4, 13, 45, 51, 77]",[5]
37,https://www.lottoland.com/en/superenalotto/results-winning-numbers/04-03-2021,SuperEnalotto,44289,II,5 Numbers + Jolly Number,0,No hits,"[2, 4, 13, 45, 51, 77]",[5]
38,https://www.lottoland.com/en/superenalotto/results-winning-numbers/04-03-2021,SuperEnalotto,44289,III,5 Numbers,8,24729.25,"[2, 4, 13, 45, 51, 77]",[5]
39,https://www.lottoland.com/en/superenalotto/results-winning-numbers/04-03-2021,SuperEnalotto,44289,IV,4 Numbers,709,284.71,"[2, 4, 13, 45, 51, 77]",[5]
40,https://www.lottoland.com/en/superenalotto/results-winning-numbers/04-03-2021,SuperEnalotto,44289,V,3 Numbers,28306,21.44,"[2, 4, 13, 45, 51, 77]",[5]
41,https://www.lottoland.com/en/superenalotto/results-winning-numbers/04-03-2021,SuperEnalotto,44289,VI,2 Numbers,423825,5,"[2, 4, 13, 45, 51, 77]",[5]
42,https://www.lottoland.com/en/superenalotto/results-winning-numbers/02-03-2021,SuperEnalotto,44230,I,6 Numbers,0,No hits,"[3, 32, 39, 56, 77, 89]",[90]
43,https://www.lottoland.com/en/superenalotto/results-winning-numbers/02-03-2021,SuperEnalotto,44230,II,5 Numbers + Jolly Number,0,No hits,"[3, 32, 39, 56, 77, 89]",[90]
