,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/20-03-2021,Swedish Lotto Plus,20-03-2021,I,7 Numbers,393298.43,,"[2, 3, 4, 14, 17, 31, 32]","[9, 22, 27, 29]"
1,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/20-03-2021,Swedish Lotto Plus,20-03-2021,II,6 Numbers + Bonus,1474.87,,"[2, 3, 4, 14, 17, 31, 32]","[9, 22, 27, 29]"
2,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/20-03-2021,Swedish Lotto Plus,20-03-2021,III,6 Numbers,147.49,,"[2, 3, 4, 14, 17, 31, 32]","[9, 22, 27, 29]"
3,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/20-03-2021,Swedish Lotto Plus,20-03-2021,IV,5 Numbers,14.75,,"[2, 3, 4, 14, 17, 31, 32]","[9, 22, 27, 29]"
4,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/20-03-2021,Swedish Lotto Plus,20-03-2021,V,4 Numbers,1.97,,"[2, 3, 4, 14, 17, 31, 32]","[9, 22, 27, 29]"
5,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/17-03-2021,Swedish Lotto Plus,17-03-2021,I,7 Numbers,98583.21,,"[1, 5, 7, 11, 22, 27, 34]","[21, 24, 25, 26]"
6,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/17-03-2021,Swedish Lotto Plus,17-03-2021,II,6 Numbers + Bonus,1478.75,,"[1, 5, 7, 11, 22, 27, 34]","[21, 24, 25, 26]"
7,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/17-03-2021,Swedish Lotto Plus,17-03-2021,III,6 Numbers,147.87,,"[1, 5, 7, 11, 22, 27, 34]","[21, 24, 25, 26]"
8,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/17-03-2021,Swedish Lotto Plus,17-03-2021,IV,5 Numbers,14.79,,"[1, 5, 7, 11, 22, 27, 34]","[21, 24, 25, 26]"
9,https://www.lottoland.com/en/swedish-lottery/results-winning-numbers/17-03-2021,Swedish Lotto Plus,17-03-2021,V,4 Numbers,1.97,,"[1, 5, 7, 11, 22, 27, 34]","[21, 24, 25, 26]"
