,URL,Lottery Name,Date,Tier,Match,Winners,Amount,Numbers,Extra Numbers
0,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/20-03-2021,UK Lotto Plus,20-03-2021,I,6 Numbers,4909277.72,,"[3, 21, 31, 38, 45, 46]",[12]
1,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/20-03-2021,UK Lotto Plus,20-03-2021,II,5 Numbers + Bonus,1168875.65,,"[3, 21, 31, 38, 45, 46]",[12]
2,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/20-03-2021,UK Lotto Plus,20-03-2021,III,5 Numbers,2045.53,,"[3, 21, 31, 38, 45, 46]",[12]
3,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/20-03-2021,UK Lotto Plus,20-03-2021,IV,4 Numbers,163.64,,"[3, 21, 31, 38, 45, 46]",[12]
4,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/20-03-2021,UK Lotto Plus,20-03-2021,V,3 Numbers,35.07,,"[3, 21, 31, 38, 45, 46]",[12]
5,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/20-03-2021,UK Lotto Plus,20-03-2021,VI,2 Numbers,2.34,,"[3, 21, 31, 38, 45, 46]",[12]
6,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/17-03-2021,UK Lotto Plus,17-03-2021,I,6 Numbers,2336899.05,,"[11, 16, 17, 30, 42, 59]",[39]
7,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/17-03-2021,UK Lotto Plus,17-03-2021,II,5 Numbers + Bonus,1168449.53,,"[11, 16, 17, 30, 42, 59]",[39]
8,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/17-03-2021,UK Lotto Plus,17-03-2021,III,5 Numbers,2044.79,,"[11, 16, 17, 30, 42, 59]",[39]
9,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/17-03-2021,UK Lotto Plus,17-03-2021,IV,4 Numbers,163.58,,"[11, 16, 17, 30, 42, 59]",[39]
10,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/17-03-2021,UK Lotto Plus,17-03-2021,V,3 Numbers,35.05,,"[11, 16, 17, 30, 42, 59]",[39]
11,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/17-03-2021,UK Lotto Plus,17-03-2021,VI,2 Numbers,2.34,,"[11, 16, 17, 30, 42, 59]",[39]
12,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/13-03-2021,UK Lotto Plus,13-03-2021,I,6 Numbers,4893627.68,,"[12, 13, 14, 30, 34, 55]",[6]
13,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/13-03-2021,UK Lotto Plus,13-03-2021,II,5 Numbers + Bonus,1165149.45,,"[12, 13, 14, 30, 34, 55]",[6]
14,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/13-03-2021,UK Lotto Plus,13-03-2021,III,5 Numbers,2039.01,,"[12, 13, 14, 30, 34, 55]",[6]
15,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/13-03-2021,UK Lotto Plus,13-03-2021,IV,4 Numbers,163.12,,"[12, 13, 14, 30, 34, 55]",[6]
16,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/13-03-2021,UK Lotto Plus,13-03-2021,V,3 Numbers,34.95,,"[12, 13, 14, 30, 34, 55]",[6]
17,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/13-03-2021,UK Lotto Plus,13-03-2021,VI,2 Numbers,2.33,,"[12, 13, 14, 30, 34, 55]",[6]
18,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/10-03-2021,UK Lotto Plus,44472,I,6 Numbers,2332799.51,,"[4, 22, 24, 29, 30, 42]",[28]
19,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/10-03-2021,UK Lotto Plus,44472,II,5 Numbers + Bonus,1166399.76,,"[4, 22, 24, 29, 30, 42]",[28]
20,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/10-03-2021,UK Lotto Plus,44472,III,5 Numbers,2041.2,,"[4, 22, 24, 29, 30, 42]",[28]
21,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/10-03-2021,UK Lotto Plus,44472,IV,4 Numbers,163.3,,"[4, 22, 24, 29, 30, 42]",[28]
22,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/10-03-2021,UK Lotto Plus,44472,V,3 Numbers,34.99,,"[4, 22, 24, 29, 30, 42]",[28]
23,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/10-03-2021,UK Lotto Plus,44472,VI,2 Numbers,2.33,,"[4, 22, 24, 29, 30, 42]",[28]
24,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/06-03-2021,UK Lotto Plus,44350,I,6 Numbers,23221225.13,,"[16, 27, 33, 35, 42, 44]",[57]
25,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/06-03-2021,UK Lotto Plus,44350,II,5 Numbers + Bonus,1161061.26,,"[16, 27, 33, 35, 42, 44]",[57]
26,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/06-03-2021,UK Lotto Plus,44350,III,5 Numbers,2031.86,,"[16, 27, 33, 35, 42, 44]",[57]
27,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/06-03-2021,UK Lotto Plus,44350,IV,4 Numbers,162.55,,"[16, 27, 33, 35, 42, 44]",[57]
28,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/06-03-2021,UK Lotto Plus,44350,V,3 Numbers,34.83,,"[16, 27, 33, 35, 42, 44]",[57]
29,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/06-03-2021,UK Lotto Plus,44350,VI,2 Numbers,2.32,,"[16, 27, 33, 35, 42, 44]",[57]
30,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/03-03-2021,UK Lotto Plus,44258,I,6 Numbers,5899459.33,,"[5, 23, 32, 38, 39, 44]",[16]
31,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/03-03-2021,UK Lotto Plus,44258,II,5 Numbers + Bonus,1156756.73,,"[5, 23, 32, 38, 39, 44]",[16]
32,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/03-03-2021,UK Lotto Plus,44258,III,5 Numbers,2024.32,,"[5, 23, 32, 38, 39, 44]",[16]
33,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/03-03-2021,UK Lotto Plus,44258,IV,4 Numbers,161.95,,"[5, 23, 32, 38, 39, 44]",[16]
34,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/03-03-2021,UK Lotto Plus,44258,V,3 Numbers,34.7,,"[5, 23, 32, 38, 39, 44]",[16]
35,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/03-03-2021,UK Lotto Plus,44258,VI,2 Numbers,2.31,,"[5, 23, 32, 38, 39, 44]",[16]
36,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/27-02-2021,UK Lotto Plus,27-02-2021,I,6 Numbers,4371303.09,,"[20, 22, 26, 31, 37, 47]",[45]
37,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/27-02-2021,UK Lotto Plus,27-02-2021,II,5 Numbers + Bonus,1150342.92,,"[20, 22, 26, 31, 37, 47]",[45]
38,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/27-02-2021,UK Lotto Plus,27-02-2021,III,5 Numbers,2013.1,,"[20, 22, 26, 31, 37, 47]",[45]
39,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/27-02-2021,UK Lotto Plus,27-02-2021,IV,4 Numbers,161.05,,"[20, 22, 26, 31, 37, 47]",[45]
40,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/27-02-2021,UK Lotto Plus,27-02-2021,V,3 Numbers,34.51,,"[20, 22, 26, 31, 37, 47]",[45]
41,https://www.lottoland.com/en/uk-lottery/results-winning-numbers/27-02-2021,UK Lotto Plus,27-02-2021,VI,2 Numbers,2.3,,"[20, 22, 26, 31, 37, 47]",[45]
