Date,Moon,Sun,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,DateSort
01-01-2010,Cancer,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-01
02-01-2010,Cancer,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-02
03-01-2010,Leo,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-03
04-01-2010,Leo,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-04
05-01-2010,Virgo,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-05
06-01-2010,Virgo,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-06
07-01-2010,Libra,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-07
08-01-2010,Libra,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-08
09-01-2010,Scorpio,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-09
10-01-2010,Scorpio,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-10
11-01-2010,Sagittarius,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-11
12-01-2010,Sagittarius,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra,Pisces,Aquarius,Capricorn,2010-01-12
13-01-2010,Sagittarius,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra ,Pisces,Aquarius,Capricorn,2010-01-13
14-01-2010,Capricorn,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra ,Pisces,Aquarius,Capricorn,2010-01-14
15-01-2010,Capricorn,Capricorn,,Capricorn,Leo ,Aquarius,Libra ,Pisces,Aquarius,Capricorn,2010-01-15
